,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
31,,2014-03-11,,,,"Aardsma, David",641391,430911,field_out,hit_into_play,,,,,,Colin Bray flies out to right fielder Matt Carson.,S,L,R,ARI,CLE,X,9.0,fly_ball,0,0,2014,,,,,,,,2,7,Bot,161.65,101.41,,,450192,,,,,,,,,,,,,,,,,396124,430911,450192,458691,451088,502082,609267,460579,571980,454998,,,,0.0,,0.0,0.0,,55,1,,1,5,1,5,5,1,1,5,,,,-0.005,
32,,2014-03-11,,,,"Aardsma, David",488912,430911,field_out,hit_into_play,,,,,,"Tuffy Gosewisch grounds out, shortstop Dorssys Paulino to first baseman David Adams.",S,R,R,ARI,CLE,X,6.0,ground_ball,0,0,2014,,,,,,,,1,7,Bot,113.45,156.63,,,450192,,,,,,,,,,,,,,,,,396124,430911,450192,458691,451088,502082,609267,460579,571980,454998,,,,0.0,,0.0,0.0,,54,1,,1,5,1,5,5,1,1,5,,,,-0.01,
33,,2014-03-11,,,,"Aardsma, David",444432,430911,strikeout,called_strike,,,,,,Mark Trumbo called out on strikes.,S,R,R,ARI,CLE,S,2.0,,0,2,2014,,,,,,,,0,7,Bot,,,,,450192,,,,,,,,,,,,,,,,,396124,430911,450192,458691,451088,502082,609267,460579,571980,454998,,,,0.0,,0.0,0.0,,53,3,,1,5,1,5,5,1,1,5,,,,-0.017,
34,,2014-03-11,,,,"Aardsma, David",444432,430911,,called_strike,,,,,,Mark Trumbo called out on strikes.,S,R,R,ARI,CLE,S,,,0,1,2014,,,,,,,,0,7,Bot,,,,,450192,,,,,,,,,,,,,,,,,396124,430911,450192,458691,451088,502082,609267,460579,571980,454998,,,,,,,,,53,2,,1,5,1,5,5,1,1,5,,,,0.0,
35,,2014-03-11,,,,"Aardsma, David",444432,430911,,called_strike,,,,,,Mark Trumbo called out on strikes.,S,R,R,ARI,CLE,S,,,0,0,2014,,,,,,,,0,7,Bot,,,,,450192,,,,,,,,,,,,,,,,,396124,430911,450192,458691,451088,502082,609267,460579,571980,454998,,,,,,,,,53,1,,1,5,1,5,5,1,1,5,,,,0.0,
36,Four-Seam Fastball,2014-03-05,89.6,-1.74,5.85,"Aardsma, David",572287,430911,field_out,hit_into_play,,,,,5.0,Mike Zunino pops out to first baseman Jesus Aguilar in foul territory.,S,R,R,SEA,CLE,X,3.0,popup,3,0,2014,-1.27,1.51,0.19,2.74,,545338.0,,2,6,Bot,169.68,170.68,,,450192,,140305_145909,7.72,-130.24,-4.87,-14.22,25.27,-16.33,3.43,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,0.0,,0.0,0.0,,51,4,4-Seam Fastball,5,1,5,1,1,5,5,1,,,,-0.007,
37,Four-Seam Fastball,2014-03-05,91.4,-1.47,5.9,"Aardsma, David",572287,430911,,ball,,,,,14.0,Mike Zunino pops out to first baseman Jesus Aguilar in foul territory.,S,R,R,SEA,CLE,B,,,2,0,2014,-1.1,1.5,1.21,2.41,,545338.0,,2,6,Bot,,,,,450192,,140305_145851,9.39,-132.65,-6.13,-12.43,27.01,-15.85,3.43,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,,,,,,51,3,4-Seam Fastball,5,1,5,1,1,5,5,1,,,,0.0,
38,Four-Seam Fastball,2014-03-05,91.4,-1.9,6.01,"Aardsma, David",572287,430911,,ball,,,,,11.0,Mike Zunino pops out to first baseman Jesus Aguilar in foul territory.,S,R,R,SEA,CLE,B,,,1,0,2014,-1.45,1.48,-1.1,3.71,,,545338.0,2,6,Bot,,,,,450192,,140305_145809,5.33,-132.97,-3.03,-17.1,26.13,-15.98,3.43,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,,,,,,51,2,4-Seam Fastball,5,1,5,1,1,5,5,1,,,,0.003,
39,Splitter,2014-03-05,82.4,-1.77,5.72,"Aardsma, David",572287,430911,,blocked_ball,,,,,14.0,Mike Zunino pops out to first baseman Jesus Aguilar in foul territory.,S,R,R,SEA,CLE,B,,,0,0,2014,-0.72,0.94,1.34,0.93,,,545338.0,2,6,Bot,,,,,450192,,140305_145704,8.57,-119.49,-5.96,-6.05,26.55,-24.75,3.43,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,,,,,,51,1,Split-Finger,5,1,5,1,1,5,5,1,,,,0.0,
40,Four-Seam Fastball,2014-03-05,90.9,-1.68,5.84,"Aardsma, David",545338,430911,field_error,hit_into_play,,,,,3.0,Nick Franklin reaches on a fielding error by second baseman David Adams.,S,L,R,SEA,CLE,X,4.0,ground_ball,1,0,2014,-1.35,1.6,0.39,2.75,,,,2,6,Bot,148.59,145.58,,,450192,,140305_145622,8.37,-132.1,-5.17,-15.52,28.63,-14.9,3.18,1.5,,,,,,,396491,430911,450192,542583,458691,489262,471107,454998,460579,519037,50.0,,,0.9,,0.0,0.0,,50,2,4-Seam Fastball,5,1,5,1,1,5,5,1,,,,0.002,
